Cod partener,Nr.contract,Adresa partener,Contract start,Stare,Contract end,Cod produs,Tip produs,UM,Valuta,Pret contractat,Pret mediu factura,Cantitate facturat total
12865723,1353,"…. - RANT CASA G, ARIESULUI, GALATI",25-Apr-2016,Valid,19.04.2019,SGF_28X_7510,Marfa,KG,EUR,36.38,27.68,51
41361754,2003,"…. - RAL, STR.NEGRU VODA, CAMPULUNG",15-Jul-2019,Valid,19.07.2022,SGF_269_1100,Marfa,KG,EUR,33.87,26.8,135
33421367,2241,"…. - ENILOR, BULEVARDUL DACIA, IASI",25-Jan-2022,Valid,24.01.2025,SGF_2V1_1990,Marfa,KG,EUR,18.82,15.15,12
16233096,2253,"…. - OR VLADIMIREASCU, TARGU FRUMOS",5-Mar-2022,Draft,04.03.2025,SGF_2V1_1990,Marfa,KG,EUR,22.58,26.42,6
6718515,993,"…. - CEBAL NR. 18, DECEBAL, SECTOR3",13-Oct-2014,Anulat,04.05.2027,SGF_358,Marfa,Cut,EUR,16.5,16,3
6718515,993,"…. - CEBAL NR. 18, DECEBAL, SECTOR3",13-Oct-2014,Anulat,04.05.2027,SGF_29M,Marfa,Cut,EUR,20.29,14.5,156
6718515,993,"…. - CEBAL NR. 18, DECEBAL, SECTOR3",13-Oct-2014,Anulat,04.05.2027,SGF_288,Marfa,KG,EUR,32.61,28.02,2
6718515,993,"…. - DUL. DIMITRIE POMPEIU, SECTOR2",13-Oct-2014,Anulat,08.01.2023,SGF_29P,Marfa,Cut,EUR,51.05,39,2
6718515,993,"…. - DUL. DIMITRIE POMPEIU, SECTOR2",13-Oct-2014,Anulat,08.01.2023,SGF_29M,Marfa,Cut,EUR,18.98,14.5,28
6718515,993,"…. - DUL. DIMITRIE POMPEIU, SECTOR2",13-Oct-2014,Anulat,08.01.2023,SGF_288,Marfa,KG,EUR,31.36,23.5,16
6718515,1316,"…. - A MALL, BD. TIMISOARA, SECTOR6",10-Mar-2016,Valid,04.05.2027,SGF_298_1661,Marfa,Cut,EUR,71.66,71.66,2
6718515,1316,"…. - A MALL, BD. TIMISOARA, SECTOR6",10-Mar-2016,Valid,04.05.2027,SGF_288,Marfa,KG,EUR,28,24.94,821
6718515,1316,"…. - A MALL, BD. TIMISOARA, SECTOR6",10-Mar-2016,Valid,04.05.2027,SGF_200.002.017,Marfa,KG,EUR,25,25.64,"1,083.00"
6718515,1421,"…. - , DOCTOR CAROL DAVILA, SECTOR5",14-Jul-2016,Valid,04.05.2027,SGF_288,Marfa,KG,EUR,28,25.17,164
6718515,1421,"…. - , DOCTOR CAROL DAVILA, SECTOR5",14-Jul-2016,Valid,04.05.2027,SGF_200.002.017,Marfa,KG,EUR,25,26,62
6718515,1439,"…. - NG VITAN, CALEA VITAN, SECTOR3",4-Aug-2016,Valid,04.05.2027,SGF_288,Marfa,KG,EUR,32.61,24.97,413
6718515,1439,"…. - NG VITAN, CALEA VITAN, SECTOR3",4-Aug-2016,Valid,04.05.2027,SGF_200.002.017,Marfa,KG,EUR,25,25.63,576
6718515,1487,"…. - POSU, CORNELIU COPOSU, SECTOR3",27-Oct-2016,Valid,04.05.2027,SGF_288,Marfa,KG,EUR,32.61,25.16,96
6718515,1487,"…. - POSU, CORNELIU COPOSU, SECTOR3",27-Oct-2016,Valid,04.05.2027,SGF_200.002.017,Marfa,KG,EUR,25,26,17
6718515,1511,"…. - EI VODA, STIRBEI VODA, SECTOR1",12-Dec-2016,Valid,04.05.2027,SGF_288,Marfa,KG,EUR,32.61,25.21,194
6718515,1511,"…. - EI VODA, STIRBEI VODA, SECTOR1",12-Dec-2016,Valid,04.05.2027,SGF_200.002.017,Marfa,KG,EUR,25,26,70
6718515,1537,"…. - S.A. - TRAIAN, TRAIAN, SECTOR2",21-Feb-2017,Valid,04.05.2027,SGF_288,Marfa,KG,EUR,32.61,25.15,74
6718515,1537,"…. - S.A. - TRAIAN, TRAIAN, SECTOR2",21-Feb-2017,Valid,04.05.2027,SGF_200.002.017,Marfa,KG,EUR,25,26,21
6718515,1587,"…. - SPLAIUL INDEPENDENTEI, SECTOR5",20-Apr-2017,Valid,04.05.2027,SGF_288,Marfa,KG,EUR,32.61,25.21,132
6718515,1587,"…. - SPLAIUL INDEPENDENTEI, SECTOR5",20-Apr-2017,Valid,04.05.2027,SGF_200.002.017,Marfa,KG,EUR,25,26,71
6718515,1710,"…. - ULEVARDUL IULIU MANIU, SECTOR6",16-Oct-2017,Valid,04.05.2027,SGF_288,Marfa,KG,EUR,32.61,24.76,106
6718515,1710,"…. - ULEVARDUL IULIU MANIU, SECTOR6",16-Oct-2017,Valid,04.05.2027,SGF_200.002.017,Marfa,KG,EUR,25,25.7,533
6718515,1772,"…. - LLER 6-8, RADU BELLER, SECTOR1",29-Dec-2017,Valid,04.05.2027,SGF_288,Marfa,KG,EUR,32.61,25,26
6718515,1772,"…. - LLER 6-8, RADU BELLER, SECTOR1",29-Dec-2017,Valid,04.05.2027,SGF_200.002.017,Marfa,KG,EUR,25,25.64,156
6718515,1849,"…. - 34, CALEA DOROBANILOR, SECTOR1",4-May-2018,Valid,04.05.2027,SGF_200.002.017,Marfa,KG,EUR,25,25.6,556
6718515,2359,"…. -  CO, SERGENT NUTU ION, SECTOR5",18-Oct-2022,Valid,19.10.2025,SGF_200.002.017,Marfa,KG,EUR,25,25,6
6718515,2401,"…. -  TRAIAN, NERVA TRAIAN, SECTOR1",12-Apr-2023,Valid,09.04.2026,SGF_200.002.017,Marfa,KG,EUR,26.5,26.5,20
6718515,2404,"…. - DUL NICOLAE TITULESCU, SECTOR1",19-Apr-2023,Valid,19.04.2026,SGF_200.002.017,Marfa,KG,EUR,26.5,26.5,6
6718515,2432,"…. - , CALEA 13 SEPTEMBRIE, SECTOR5",23-Oct-2023,Draft,19.10.2028,SGF_200.002.017,Marfa,KG,EUR,26.5,26.31,16
29488032,1452,"…. - PROFESOR VASILE PETRESCU, IASI",31-Aug-2016,Valid,31.08.2019,SGF_29P,Marfa,Cut,EUR,54.98,39,4
